"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
93,Everythng Everywhere All at Once,2022,129321,8.3,15,139 mn,"Acton, Adventure, Comedy",81,"An agng Chnese mmgrant s swept up n an nsane adventure, where she alone can save the world by explorng other unverses connectng wth the lves she could have led.",Dan Kwan,Danel Schenert,Mchelle Yeoh,Stephane Hsu,Ke Huy Quan,
94,Ayla,2017,39166,8.3,15,125 mn,"Bography, Drama, Hstory",,"n 1950, amd-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen lttle grl, wth no parents and no help n sght. Frantc, scared and on the verge of death, ...                 »",Can Ulkay,Halenur Uzunoglu,Çetn Tekndor,smal Hacoglu,Kyung-jn Lee,
95,Dangal,2016,184574,8.3,PG,161 mn,"Acton, Bography, Drama",,Former wrestler  and hs two wrestler daughters struggle towards glory at the Commonwealth Games n the face of socetal oppresson.,Ntesh Twar,Aamr Khan,Saksh Tanwar,Fatma Sana Shakh,Sanya Malhotra,$12.39M
96,Drshyam,2013,40642,8.3,12A,160 mn,"Crme, Drama, Thrller",,A man goes to extreme lengths to save hs famly from punshment after the famly commts an accdental crme.,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansba,
97,The Hunt,2012,321794,8.3,15,115 mn,Drama,77,"A teacher lves a lonely lfe, all the whle strugglng over hs son's custody. Hs lfe slowly gets better as he fnds love and receves good news from hs son, but hs new luck s about to be brutally shattered by an nnocent lttle le.",Thomas Vnterberg,Mads Mkkelsen,Thomas Bo Larsen,Annka Wedderkopp,Lasse Fogelstrøm,$0.69M
98,A Separaton,2011,242251,8.3,PG,123 mn,Drama,95,A marred couple are faced wth a dffcult decson - to mprove the lfe of ther chld by movng to another country or to stay n ran and look after a deteroratng parent who has Alzhemer's dsease.,Asghar Farhad,Payman Maad,Lela Hatam,Sareh Bayat,Shahab Hossen,$7.10M
99,ncendes,2010,173341,8.3,15,131 mn,"Drama, Mystery",80,Twns journey to the Mddle East to dscover ther famly hstory and fulfll ther mother's last wshes.,Dens Vlleneuve,Lubna Azabal,Mélssa Désormeaux-Pouln,Maxm Gaudette,Mustafa Kamel,$6.86M
100,Spder-Man: No Way Home,2021,664638,8.3,12A,148 mn,"Acton, Adventure, Fantasy",71,"Wth Spder-Man's dentty now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcng Peter to dscover what t truly means to be Spder-Man.",Jon Watts,Tom Holland,Zendaya,Benedct Cumberbatch,Jacob Batalon,$804.75M
101,Up,2009,1020046,8.3,U,96 mn,"Anmaton, Adventure, Comedy",88,"78-year-old Carl Fredrcksen travels to Paradse Falls n hs house equpped wth balloons, nadvertently takng a young stowaway.",Pete Docter,Bob Peterson,Edward Asner,Jordan Naga,John Ratzenberger,$293.00M
102,Lke Stars on Earth,2007,189589,8.3,PG,165 mn,"Drama, Famly",,"An eght-year-old boy s thought to be a lazy trouble-maker, untl the new art teacher has the patence and compasson to dscover the real problem behnd hs struggles n school.",Aamr Khan,Amole Gupte,Darsheel Safary,Aamr Khan,Tsca Chopra,$1.22M
103,Toy Story 3,2010,818885,8.3,U,103 mn,"Anmaton, Adventure, Comedy",92,"The toys are mstakenly delvered to a day-care center nstead of the attc rght before Andy leaves for college, and t's up to Woody to convnce the other toys that they weren't abandoned and to return home.",Lee Unkrch,Tom Hanks,Tm Allen,Joan Cusack,Ned Beatty,$415.00M
104,nglourous Basterds,2009,1403916,8.3,18,153 mn,"Adventure, Drama, War",69,"n Naz-occuped France durng World War , a plan to assassnate Naz leaders by a group of Jewsh U.S. solders concdes wth a theatre owner's vengeful plans for the same.",Quentn Tarantno,Brad Ptt,Dane Kruger,El Roth,Mélane Laurent,$120.54M
105,Eternal Sunshne of the Spotless Mnd,2004,986001,8.3,15,108 mn,"Drama, Romance, Sc-F",89,"When ther relatonshp turns sour, a couple undergoes a medcal procedure to have each other erased from ther memores.",Mchel Gondry,Jm Carrey,Kate Wnslet,Tom Wlknson,Gerry Robert Byrne,$34.40M
106,Améle,2001,746066,8.3,15,122 mn,"Comedy, Romance",69,"Améle s an nnocent and nave grl n Pars wth her own sense of justce. She decdes to help those around her and, along the way, dscovers love.",Jean-Perre Jeunet,Audrey Tautou,Matheu Kassovtz,Rufus,Lorella Cravotta,$33.23M
107,Snatch,2000,840186,8.3,18,104 mn,"Comedy, Crme",55,"Unscrupulous boxng promoters, volent bookmakers, a Russan gangster, ncompetent amateur robbers and supposedly Jewsh jewelers fght to track down a prceless stolen damond.",Guy Rtche,Jason Statham,Brad Ptt,Stephen Graham,Vnne Jones,$30.33M
108,Requem for a Dream,2000,825245,8.3,18,102 mn,Drama,68,The drug-nduced utopas of four Coney sland people are shattered when ther addctons run deep.,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennfer Connelly,Marlon Wayans,$3.64M
109,Good Wll Huntng,1997,943292,8.3,15,126 mn,"Drama, Romance",70,"Wll Huntng, a jantor at M..T., has a gft for mathematcs, but needs help from a psychologst to fnd drecton n hs lfe.",Gus Van Sant,Robn Wllams,Matt Damon,Ben Affleck,Stellan Skarsgård,$138.43M
110,Toy Story,1995,970421,8.3,PG,81 mn,"Anmaton, Adventure, Comedy",95,A cowboy doll s profoundly threatened and jealous when a new spaceman fgure supplants hm as top toy n a boy's room.,John Lasseter,Tom Hanks,Tm Allen,Don Rckles,Jm Varney,$191.80M
111,Heat,1995,638101,8.3,15,170 mn,"Acton, Crme, Drama",76,A group of hgh-end professonal theves start to feel the heat from the LAPD when they unknowngly leave a clue at ther latest hest.,Mchael Mann,Al Pacno,Robert De Nro,Val Klmer,Jon Voght,$67.44M
112,Reservor Dogs,1992,995471,8.3,18,99 mn,"Crme, Drama, Thrller",79,"When a smple jewelry hest goes horrbly wrong, the survvng crmnals begn to suspect that one of them s a polce nformant.",Quentn Tarantno,Harvey Ketel,Tm Roth,Mchael Madsen,Chrs Penn,$2.83M
113,Full Metal Jacket,1987,728074,8.3,18,116 mn,"Drama, War",76,A pragmatc U.S. Marne observes the dehumanzng effects the Vetnam War has on hs fellow recruts from ther brutal boot camp tranng to the bloody street fghtng n Hue.,Stanley Kubrck,Matthew Modne,R. Lee Ermey,Vncent D'Onofro,Adam Baldwn,$46.36M
114,Come and See,1985,75995,8.3,15,142 mn,"Drama, Thrller, War",,"After fndng an old rfle, a young boy jons the Sovet resstance movement aganst ruthless German forces and experences the horrors of World War .",Elem Klmov,Aleksey Kravchenko,Olga Mronova,Lubomras Laucevcus,Vladas Bagdonas,
115,Once Upon a Tme n Amerca,1984,345022,8.3,18,229 mn,"Crme, Drama",75,"A former Prohbton-era Jewsh gangster returns to the Lower East Sde of Manhattan 35 years later, where he must once agan confront the ghosts and regrets of hs old lfe.",Sergo Leone,Robert De Nro,James Woods,Elzabeth McGovern,Treat Wllams,$5.32M
116,Scarface,1983,816317,8.3,18,170 mn,"Crme, Drama",65,"n 1980 Mam, a determned Cuban mmgrant takes over a drug cartel and succumbs to greed.",Bran De Palma,Al Pacno,Mchelle Pfeffer,Steven Bauer,Mary Elzabeth Mastrantono,$45.60M
117,Star Wars: Return of the Jed,1983,1029342,8.3,U,131 mn,"Acton, Adventure, Fantasy",58,"After a darng msson to rescue Han Solo from Jabba the Hutt, the Rebels dspatch to Endor to destroy the second Death Star. Meanwhle, Luke struggles to help Darth Vader back from the dark sde wthout fallng nto the Emperor's trap.",Rchard Marquand,Mark Hamll,Harrson Ford,Carre Fsher,Blly Dee Wllams,$309.13M
118,The Stng,1973,258511,8.3,A,129 mn,"Comedy, Crme, Drama",83,Two grfters team up to pull off the ultmate con.,George Roy Hll,Paul Newman,Robert Redford,Robert Shaw,Charles Durnng,$159.60M
119,A Clockwork Orange,1971,813821,8.3,X,136 mn,"Crme, Sc-F",77,"n the future, a sadstc gang leader s mprsoned and volunteers for a conduct-averson experment, but t doesn't go as planned.",Stanley Kubrck,Malcolm McDowell,Patrck Magee,Mchael Bates,Warren Clarke,$6.21M
120,2001: A Space Odyssey,1968,655030,8.3,U,149 mn,"Adventure, Sc-F",84,"After uncoverng a mysterous artfact bured beneath the Lunar surface, a spacecraft s sent to Jupter to fnd ts orgns - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",Stanley Kubrck,Ker Dullea,Gary Lockwood,Wllam Sylvester,Danel Rchter,$56.95M
121,To Kll a Mockngbrd,1962,312861,8.3,A,129 mn,"Crme, Drama",88,"Attcus Fnch, a wdowed lawyer n Depresson-era Alabama, defends a black man aganst an undeserved rape charge, and hs chldren aganst prejudce.",Robert Mullgan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,
122,Lawrence of Araba,1962,289377,8.3,PG,218 mn,"Adventure, Bography, Drama",100,"The story of , the Englsh offcer who successfully unted and led the dverse, often warrng, Arab trbes durng World War  n order to fght the Turks.",Davd Lean,Peter O'Toole,Alec Gunness,Anthony Qunn,Jack Hawkns,$44.82M
123,Judgment at Nuremberg,1961,76686,8.3,A,179 mn,"Drama, War",60,"n 1948, an Amercan court n occuped Germany tres four Nazs judged for war crmes.",Stanley Kramer,Spencer Tracy,Burt Lancaster,Rchard Wdmark,Marlene Detrch,
124,The Apartment,1960,179014,8.3,A,125 mn,"Comedy, Drama, Romance",94,"A Manhattan nsurance clerk tres to rse n hs company by lettng ts executves use hs apartment for trysts, but complcatons and a romance of hs own ensue.",Blly Wlder,Jack Lemmon,Shrley MacLane,Fred MacMurray,Ray Walston,$18.60M
125,North by Northwest,1959,322986,8.3,A,136 mn,"Acton, Adventure, Mystery",98,"A New York Cty advertsng executve goes on the run after beng mstaken for a government agent by a group of foregn spes, and falls for a woman whose loyaltes he begns to doubt.",Alfred Htchcock,Cary Grant,Eva Mare Sant,James Mason,Jesse Royce Lands,$13.28M
126,Vertgo,1958,396060,8.3,A,128 mn,"Mystery, Romance, Thrller",100,"A former San Francsco polce detectve juggles wrestlng wth hs personal demons and becomng obsessed wth the hauntngly beautful woman he has been hred to tral, who may be deeply dsturbed.",Alfred Htchcock,James Stewart,Km Novak,Barbara Bel Geddes,Tom Helmore,$3.20M
127,Pather Panchal,1955,32005,8.3,U,125 mn,Drama,,"mpovershed prest Harhar Ray, dreamng of a better lfe for hmself and hs famly, leaves hs rural Bengal vllage n search of work.",Satyajt Ray,Kanu Bannerjee,Karuna Bannerjee,Subr Banerjee,Chunbala Dev,$0.54M
128,Sngn' n the Ran,1952,238466,8.3,U,103 mn,"Comedy, Muscal, Romance",99,A slent flm star falls for a chorus grl just as he and hs delusonally jealous screen partner are tryng to make the dffcult transton to talkng pctures n 1920s Hollywood.,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbe Reynolds,$8.82M
129,kru,1952,77125,8.3,A,143 mn,Drama,91,A bureaucrat tres to fnd meanng n hs lfe after he dscovers he has termnal cancer.,Akra Kurosawa,Takash Shmura,Nobuo Kaneko,Shn'ch Hmor,Haruo Tanaka,$0.06M
130,Bcycle Theves,1948,161423,8.3,U,89 mn,Drama,,"n post-war taly, a workng-class man's bcycle s stolen, endangerng hs efforts to fnd work. He and hs son set out to fnd t.",Vttoro De Sca,Lamberto Maggoran,Enzo Staola,Lanella Carell,Elena Alter,$0.33M
131,Double ndemnty,1944,155046,8.3,A,107 mn,"Crme, Drama, Flm-Nor",95,"A Los Angeles nsurance representatve lets an allurng housewfe seduce hm nto a scheme of nsurance fraud and murder that arouses the suspcon of hs colleague, an nsurance nvestgator.",Blly Wlder,Fred MacMurray,Barbara Stanwyck,Edward G. Robnson,Byron Barr,$5.72M
132,Ctzen Kane,1941,436067,8.3,A,119 mn,"Drama, Mystery",100,"Followng the death of publshng tycoon Charles Foster Kane, reporters scramble to uncover the meanng of hs fnal utterance: 'Rosebud.'",Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comngore,Agnes Moorehead,$1.59M
133,M,1931,155867,8.3,A,117 mn,"Crme, Mystery, Thrller",,"When the polce n a German cty are unable to catch a chld-murderer, other crmnals jon n the manhunt.",Frtz Lang,Peter Lorre,Ellen Wdmann,nge Landgut,Otto Werncke,$0.03M
134,Metropols,1927,172159,8.3,A,153 mn,"Drama, Sc-F",98,"n a futurstc cty sharply dvded between the workng class and the cty planners, the son of the cty's mastermnd falls n love wth a workng-class prophet who predcts the comng of a savor to medate ther dfferences.",Frtz Lang,Brgtte Helm,Alfred Abel,Gustav Fröhlch,Rudolf Klen-Rogge,$1.24M
135,The Kd,1921,124986,8.3,U,68 mn,"Comedy, Drama, Famly",,"The Tramp cares for an abandoned chld, but events put ther relatonshp n jeopardy.",Charles Chapln,Charles Chapln,Edna Purvance,Jacke Coogan,Carl Mller,$5.45M
136,Chhchhore,2019,50803,8.2,12A,143 mn,"Comedy, Drama, Romance",,"A tragc ncdent forces Anrudh, a mddle-aged man, to take a trp down memory lane and remnsce hs college days along wth hs frends, who were labelled as losers.",Ntesh Twar,Sushant Sngh Rajput,Shraddha Kapoor,Varun Sharma,Pratek Babbar,$0.90M
137,1917,2019,557637,8.2,15,119 mn,"Acton, Drama, War",78,"Aprl 6th, 1917. As an nfantry battalon assembles to wage war deep n enemy terrtory, two solders are assgned to race aganst tme and delver a message that wll stop 1,600 men from walkng straght nto a deadly trap.",Sam Mendes,Dean-Charles Chapman,George MacKay,Danel Mays,Coln Frth,$159.23M
138,Ur: The Surgcal Strke,2019,59582,8.2,15,138 mn,"Acton, Drama, Hstory",,"ndan army specal forces execute a covert operaton, avengng the kllng of fellow army men at ther base by a terrorst group.",Adtya Dhar,Vcky Kaushal,Paresh Rawal,Moht Rana,Yam Gautam,$4.19M
139,Tumbbad,2018,42528,8.2,18,104 mn,"Drama, Fantasy, Horror",,A mythologcal story about a goddess who created the entre unverse. The plot revolves around the consequences when humans buld a temple for her frst-born.,Rah Anl Barve,Anand Gandh,Adesh Prasad,Sohum Shah,Jyot Malshe,
140,Andhadhun,2018,89987,8.2,12A,139 mn,"Comedy, Crme, Musc",,"A seres of mysterous events change the lfe of a blnd panst, who must now report a crme that he should techncally know nothng of.",Srram Raghavan,Ayushmann Khurrana,Tabu,Radhka Apte,Anl Dhawan,$1.37M
141,K.G.F,2018,77762,8.2,15,156 mn,"Acton, Crme, Drama",,"n the 1970s, a gangster goes undercover as a slave to assassnate the owner of a notorous gold mne.",Prashanth Neel,Yash,Srndh Shetty,Ramachandra Raju,Archana Jos,
142,Green Book,2018,469140,8.2,12A,130 mn,"Bography, Comedy, Drama",69,A workng-class talan-Amercan bouncer becomes the drver for an Afrcan-Amercan classcal panst on a tour of venues through the 1960s Amercan South.,Peter Farrelly,Vggo Mortensen,Mahershala Al,Lnda Cardelln,Sebastan Manscalco,$85.08M
143,Vkram Vedha,2017,37774,8.2,12A,147 mn,"Acton, Crme, Drama",,"Vkram, a no-nonsense polce offcer, accompaned by Smon, hs partner, s on the hunt to capture Vedha, a smuggler and a murderer. Vedha tres to change Vkram's lfe, whch leads to a conflct.",Gayatr,Pushkar,Madhavan,Vjay Sethupath,Shraddha Srnath,
144,Baahubal 2: The Concluson,2017,94292,8.2,15,167 mn,"Acton, Drama",,"When Shva, the son of Bahubal, learns about hs hertage, he begns to look for answers. Hs story s juxtaposed wth past events that unfolded n the Mahshmat Kngdom.",S.S. Rajamoul,Prabhas,Rana Daggubat,Anushka Shetty,Tamannaah Bhata,$20.19M
145,Drshyam,2015,80173,8.2,12A,163 mn,"Crme, Drama, Mystery",,"Desperate measures are taken by a man who tres to save hs famly from the dark sde of the law, after they commt an unexpected crme.",Nshkant Kamat,Ajay Devgn,Shrya Saran,Tabu,Rajat Kapoor,$0.74M
146,Bhaag Mlkha Bhaag,2013,67091,8.2,12A,186 mn,"Bography, Drama, Sport",,"The truth behnd the ascenson of , who was scarred by of the nda-Pakstan partton.",Rakeysh Omprakash Mehra,Farhan Akhtar,Japtej Sngh,Dvya Dutta,Pawan Malhotra,$1.63M
147,nsde Out,2015,693152,8.2,U,95 mn,"Anmaton, Adventure, Comedy",94,"After young Rley s uprooted from her Mdwest lfe and moved to San Francsco, her emotons - Joy, Fear, Anger, Dsgust and Sadness - conflct on how best to navgate a new cty, house, and school.",Pete Docter,Ronne Del Carmen,Amy Poehler,Bll Hader,Lews Black,$356.46M
148,Gangs of Wasseypur,2012,94201,8.2,18,321 mn,"Acton, Comedy, Crme",89,"A clash between Sultan and Shahd Khan leads to the expulson of Khan from Wasseypur, and gntes a deadly blood feud spannng three generatons.",Anurag Kashyap,Manoj Bajpayee,Rcha Chadha,Nawazuddn Sddqu,Tgmanshu Dhula,
149,Paan Sngh Tomar,2012,36069,8.2,12A,135 mn,"Acton, Bography, Crme",,"The story of Paan Sngh Tomar, an ndan athlete and seven-tme natonal steeplechase champon who becomes one of the most feared dacots n Chambal Valley after hs retrement.",Tgmanshu Dhula,rrfan Khan,Mahe Gll,Rajesh Abhay,Hemendra Dandotya,$0.04M
150,The Secret n Ther Eyes,2009,207253,8.2,18,129 mn,"Drama, Mystery, Romance",80,A retred legal counselor wrtes a novel hopng to fnd closure for one of hs past unresolved homcde cases and for hs unrecprocated love wth hs superor - both of whch stll haunt hm decades later.,Juan José Campanella,Rcardo Darín,Soledad Vllaml,Pablo Rago,Carla Quevedo,$6.39M
151,Warror,2011,465488,8.2,12A,140 mn,"Acton, Drama, Sport",71,"The youngest son of an alcoholc former boxer returns home, where he's traned by hs father for competton n a mxed martal arts tournament - a path that puts the fghter on a collson course wth hs estranged, older brother.",Gavn O'Connor,Tom Hardy,Nck Nolte,Joel Edgerton,Jennfer Morrson,$13.66M
152,Shutter sland,2010,1267346,8.2,15,138 mn,"Mystery, Thrller",63,"n 1954, a U.S. Marshal nvestgates the dsappearance of a murderer who escaped from a hosptal for the crmnally nsane.",Martn Scorsese,Leonardo DCapro,Emly Mortmer,Mark Ruffalo,Ben Kngsley,$128.01M
153,Demon Slayer the Move: Mugen Tran,2020,53614,8.2,15,117 mn,"Anmaton, Acton, Adventure",72,"After hs famly was brutally murdered and hs sster turned nto a demon, Tanjro Kamado's journey as a demon slayer began. Tanjro and hs comrades embark on a new msson aboard the Mugen Tran, on track to despar.",Haruo Sotozak,Natsuk Hanae,Akar Ktô,Yoshtsugu Matsuoka,Hro Shmono,$47.70M
154,Mracle n Cell No. 7,2019,47418,8.2,15,132 mn,Drama,,A story of love between a mentally-ll father who was wrongly accused of murder and hs lovely sx year old daughter. Prson wll be ther home. Based on the 2013 Korean move   2013 .,Mehmet Ada Öztekn,Aras Bulut yneml,Nsa Sofya Aksongur,Denz Baysal,Celle Toyon Uysal,
155,Artcle 15,2019,32926,8.2,15,130 mn,"Crme, Drama, Mystery",,"n the rural heartlands of nda, an uprght polce offcer sets out on a crusade aganst volent caste-based crmes and dscrmnaton.",Anubhav Snha,Ayushmann Khurrana,Nassar,Manoj Pahwa,Kumud Mshra,
